phase,technique_name,description,facilitation_prompts
discovery,Origin Story Excavation,Uncover the foundational narrative of how the business or journey began to establish context and character,What inspired you to start?|Take me back to the very beginning|What was the spark moment?|What made you think this was possible?|Who were you before this began?
discovery,Timeline Mapping,Create chronological understanding of key events milestones and turning points,What happened first?|Then what changed?|Walk me through the major milestones|What were the defining moments?|When did things shift?
discovery,Stakeholder Constellation,Identify key players their roles relationships and influence on the story,Who are the main characters in this story?|Who made this possible?|Who were the skeptics?|Who championed this?|What roles did people play?
discovery,Context Setting,Establish industry landscape competitive environment and situational factors,What was the market like then?|What were others doing?|What made your situation unique?|What constraints existed?|What opportunities did you see?
discovery,Vision Articulation,Capture the original dream aspiration or goal that drove the journey,What were you hoping to achieve?|Paint me a picture of what success looked like|What was the dream?|What pulled you forward?|What did you want to be different?
challenge,Pain Point Deep Dive,Explore specific problems frustrations and obstacles in vivid detail,What was the biggest headache?|Walk me through a typical bad day|What kept you up at night?|What almost made you quit?|Describe the worst moment
challenge,Five Whys Root Cause,Use iterative why questions to uncover underlying issues beyond symptoms,Why was that a problem?|Why did that matter?|What caused that?|Why was that so painful?|What was really at stake?
challenge,Quantifying Impact,Gather specific numbers metrics and measurable consequences of the challenge,How much time was wasted?|What was the cost?|How many customers were affected?|What were you losing?|Give me the numbers
challenge,Emotional Archaeology,Excavate feelings frustrations and human experiences behind business challenges,How did that make you feel?|What was the emotional toll?|Who else felt this pain?|What was the atmosphere like?|How did your team react?
challenge,Failed Attempts Inventory,Document previous solutions tried that didn't work to show the struggle,What else did you try first?|What didn't work?|How many times did you attempt this?|What false starts happened?|Why weren't other solutions enough?
solution,Decision Point Analysis,Explore the critical moment choice or realization that led to the solution,When did you decide to try this?|What changed your mind?|What was the turning point?|How did you choose this path?|What gave you confidence?
solution,STAR Method Unpack,Guide through Situation Task Action Result framework for structured solution narrative,Set the scene for me|What needed to be done?|What specific actions did you take?|Walk me through the process step-by-step|What was the result?
solution,Behind-the-Scenes Access,Reveal the internal workings strategy thinking and execution details,What was happening behind closed doors?|How did you actually do this?|What was your strategy?|What did others not see?|Tell me the inside story
solution,Challenge-Response Rhythm,Pair each obstacle with specific actions taken to show problem-solving capability,When X happened what did you do?|How did you overcome that?|What was your response?|How did you adapt?|What creative solutions emerged?
solution,Resource Orchestration,Detail how people tools budget and assets were mobilized and deployed,Who did you involve?|What resources did you use?|How did you fund this?|What tools were essential?|How did you assemble the team?
results,Victory Moments Catalog,Capture specific wins breakthroughs and success moments with vivid details,When did you first see it working?|What was the breakthrough moment?|Describe the win|When did you celebrate?|What made you know it worked?
results,Metrics and Evidence,Gather quantitative proof data points and measurable outcomes,What numbers changed?|Show me the before and after|What did the data show?|How much did X improve?|What metrics matter most?
results,Stakeholder Testimonials,Collect reactions quotes and feedback from customers team members or partners,What did customers say?|How did your team react?|What feedback surprised you?|Who noticed the change?|What quotes stand out?
results,Ripple Effect Mapping,Explore secondary unexpected and long-term impacts beyond primary goals,What else changed?|What unexpected benefits emerged?|How did this affect other areas?|What ripple effects happened?|What surprised you about the results?
results,Transformation Contrast,Create vivid before-after comparison highlighting the journey and change,Describe before this solution|Now paint the after picture|What's different now?|How has life changed?|Compare then to now
reflection,Lessons Learned Extraction,Distill key insights wisdom and knowledge gained from the experience,What did you learn?|What would you tell others?|What insights emerged?|If you could go back what would you know?|What wisdom would you share?
reflection,Advice to Past Self,Frame learnings as counsel to earlier version facing similar challenges,What would you tell yourself at the start?|What did you not know then that you know now?|What advice would help?|What would you do differently?|What would you do the same?
reflection,Future Vision Building,Explore what's next where this leads and ongoing evolution of the story,Where are you headed now?|What's next?|How will this evolve?|What new possibilities opened?|What's the next chapter?
reflection,Pattern Recognition,Identify recurring themes principles or strategies that can be generalized,What patterns do you see?|What's the underlying principle?|What made this really work?|What's replicable?|What's the formula?
reflection,Legacy and Impact,Consider lasting influence broader meaning and significance of the journey,What does this mean to you?|What's the bigger impact?|How has this changed you?|What legacy are you creating?|Why does this matter?
tone_learning,Language Mining,Extract distinctive phrases expressions and vocabulary the subject uses naturally,I love that phrase - tell me more|That's an interesting way to put it|How would you describe that in your words?|What language resonates with you?|How do you usually talk about this?
tone_learning,Metaphor Discovery,Uncover analogies comparisons and figurative language that reveals thinking patterns,What's this like for you?|If you had to compare this to something|What metaphor captures this?|How would you explain this to a friend?|What does this remind you of?
tone_learning,Energy Calibration,Tune into enthusiasm hesitation and emotional emphasis to match authentic voice,I notice you get excited about X|You paused there - tell me more|What fires you up about this?|What part matters most to you?|Where's your energy?
tone_learning,Formality Spectrum,Assess communication style from casual to professional to match appropriate register,How do you usually communicate with clients?|What's your brand voice?|Do you prefer formal or conversational?|How do you want to sound?|Show me your writing style
tone_learning,Value Signals,Identify core values principles and beliefs that should infuse the narrative,What's important to you here?|What do you stand for?|What values drive this?|What won't you compromise on?|What matters most?
