phase,technique_name,description,interview_questions
discovery,Awareness Channels,Identify how potential customers first learn about the business,How do most new customers find you?|What marketing channels work best?|Do people discover you online or offline?|What brings people to your door/site?
discovery,Search Behavior,Understand what customers search for and information they seek,What are people looking for when they find you?|What questions do they ask before visiting?|What keywords or phrases do they use?|What problem are they trying to solve?
discovery,First Impression Audit,Evaluate initial touchpoints across all channels,What's the first thing customers see/experience?|How does your storefront/website look?|What impression does signage/homepage give?|Is it clear what you offer?
discovery,Referral Sources,Map word-of-mouth and recommendation pathways,Who refers customers to you?|What do satisfied customers tell their friends?|Are there key influencers or connectors?|How do referrals typically happen?
discovery,Competitive Comparison,Understand how customers evaluate you vs alternatives,Who else are customers considering?|What makes people choose you over competitors?|What do competitors do better?|What's your unique advantage?
consideration,Information Availability,Assess ease of finding key information before purchase/visit,Can customers easily find hours location pricing?|Is your contact info accessible?|Do you answer common questions upfront?|What information is missing or hard to find?
consideration,Trust Signals,Identify elements that build or erode confidence,What builds trust before first visit?|Do you display reviews or testimonials?|Are credentials/certifications visible?|What makes customers feel confident choosing you?
consideration,Decision Triggers,Uncover what tips customers from considering to acting,What finally convinces someone to visit/buy?|What overcomes hesitation?|What creates urgency?|What questions need answering first?
consideration,Barriers to Entry,Identify friction preventing first purchase or visit,What stops people from trying you out?|Is parking/location an issue?|Are prices unclear or intimidating?|Do policies create hesitation?|What makes it hard to take the first step?
experience,Arrival Experience,Map the moment of arrival at physical location or website,What happens when customer arrives?|How are they greeted?|Is it easy to know what to do next?|What's the immediate feeling upon entry?
experience,Service Interaction,Detail the core service or purchase process,Walk me through a typical customer interaction|Who do they interact with?|What are the key moments in the service?|Where do things get complicated?|What delights or frustrates?
experience,Wait Times,Understand perceived and actual waiting experiences,Where do customers wait?|How long are typical waits?|Is waiting time communicated?|How is waiting made more pleasant?|When does waiting feel too long?
experience,Physical Environment,Evaluate space atmosphere and comfort for brick-and-mortar,How does the space feel?|Is it comfortable/welcoming?|What sensory elements stand out?|Is navigation intuitive?|What creates ambiance?
experience,Digital Experience,Assess online interaction quality for e-commerce or services,How smooth is the online experience?|Where do people get stuck?|Is mobile experience good?|Are forms/checkout easy?|What causes abandonment?
experience,Payment Process,Examine checkout or payment touchpoint,How do customers pay?|Is payment process smooth?|Are options clearly communicated?|Any friction at checkout?|What payment methods do you accept?
experience,Departure Experience,Map the ending moment of interaction,How does the experience end?|What's the last thing customers experience?|Is there a memorable goodbye?|Do they leave satisfied?|What's the exit process?
friction,Pain Point Inventory,Catalog all customer frustrations and obstacles,What do customers complain about most?|Where do they get frustrated?|What causes confusion?|What almost makes them leave?|What's consistently problematic?
friction,Abandonment Analysis,Identify where customers drop off or don't complete,Where do customers quit mid-process?|What causes people to leave without buying?|When do appointments get cancelled?|What steps lose the most people?
friction,Confusion Points,Map moments of customer uncertainty or unclear expectations,What questions do customers ask repeatedly?|Where do people look lost or confused?|What requires explanation?|Where do misunderstandings happen?
friction,Accessibility Barriers,Identify physical or cognitive accessibility issues,Is your business accessible to all?|Are there mobility barriers?|Is signage clear for all abilities?|Do you accommodate different needs?|What groups might struggle?
delight,Wow Moments,Identify and design unexpected positive experiences,What surprises and delights customers?|Where could you exceed expectations?|What would make someone say 'wow'?|What memorable touches could you add?|When can you over-deliver?
delight,Personalization Opportunities,Find ways to make experience feel tailored to individual,How do you personalize the experience?|Do you remember repeat customers?|Can you customize offerings?|What makes customers feel special?|How do you show you know them?
delight,Emotional High Points,Map moments of peak positive emotion in journey,When are customers happiest?|What creates joy or excitement?|When do they smile or laugh?|What moment would they photograph?|What do they talk about after?
retention,Follow-Up Systems,Evaluate post-purchase communication and relationship building,How do you stay in touch after first visit?|Do you follow up?|What brings customers back?|How do you nurture the relationship?|What ongoing communication exists?
retention,Loyalty Drivers,Identify what turns first-timers into regulars,Why do customers return?|What makes someone a regular?|What creates loyalty?|Who are your most loyal customers?|What do repeat customers love?
retention,Win-Back Strategies,Understand how to re-engage dormant customers,How do you win back lost customers?|Why do customers stop coming?|Have you tried re-engagement?|What would bring someone back?|How do you identify inactive customers?
retention,Advocacy Moments,Find opportunities for customers to become promoters,When do customers recommend you?|What makes people share or post about you?|Who are your biggest advocates?|What triggers word-of-mouth?|How can you make sharing easier?
retention,Lifetime Value Growth,Explore ways to deepen customer relationship over time,How do customers spend more over time?|What's the progression of engagement?|Do customers try new offerings?|How do you upsell or cross-sell?|What's the path from new to VIP?
