phase,technique_name,description,facilitation_prompts
analysis,Pattern Recognition Matrix,Identify recurring themes in positive and negative reviews to understand what customers truly value and what frustrates them,What words or phrases appear repeatedly in positive reviews?|What complaints show up most frequently?|Are there seasonal patterns in review sentiment?
analysis,Star Rating Distribution Analysis,Analyze the spread of star ratings to understand overall satisfaction trends and polarization,What percentage of reviews fall into each star category?|Are most reviews extremely positive or negative?|What triggers middle-range 3-star reviews?
analysis,Competitive Review Benchmarking,Compare review themes and ratings against competitors to identify differentiation opportunities,What do competitors' reviews say about them?|What do you do better based on reviews?|What gaps exist that no one is solving?
analysis,Emotional Journey Mapping,Track the emotional arc in customer reviews to understand experience highs and lows,Where do customers express delight?|What moments trigger frustration or disappointment?|Which touchpoints get the most emotional reactions?
analysis,Response Rate Audit,Evaluate current review response patterns to identify gaps and opportunities,What percentage of reviews do you currently respond to?|How quickly do you typically respond?|Which review types get ignored most often?
response,Empathy-First Framework,Lead every response with genuine acknowledgment of the customer's experience before addressing specifics,How can you validate their feelings first?|What specific detail from their review can you reference?|How would you want to be responded to in their situation?
response,Personality Injection Technique,Infuse brand personality into responses while maintaining professionalism and authenticity,What makes your voice unique?|How can you be warm without being fake?|What personality traits should shine through?
response,Specific Appreciation Method,Reference specific details from positive reviews to show genuine reading and gratitude,What unique detail did they mention?|What can you thank them for specifically?|How can you make them feel truly seen?
response,Problem-to-Solution Bridge,Structure negative review responses to acknowledge issue identify root cause and present concrete solution,What went wrong and why?|What have you done or will you do to fix it?|How can you prevent this in the future?
response,Offline Escalation Strategy,Know when to move conversations from public to private channels for resolution,When should you offer to continue offline?|What contact information should you provide?|How do you maintain professionalism while protecting privacy?
response,Turn-It-Around Technique,Transform criticism into demonstration of your commitment to improvement and excellence,How can this complaint showcase your values?|What positive action can you highlight?|How does this align with your mission to serve better?
response,Testimonial Harvesting,Craft responses to positive reviews that amplify key selling points and invite deeper engagement,Which praise points align with your positioning?|How can you encourage them to share more?|What invitation can you extend for continued relationship?
generation,Perfect Timing Method,Identify optimal moments in customer journey to request reviews when satisfaction is highest,When are customers most delighted?|What milestone moments trigger joy?|Which touchpoint naturally invites feedback?
generation,Multi-Channel Request Strategy,Develop review request systems across Google Yelp Facebook and industry-specific platforms,Which platforms matter most to your business?|Where do ideal customers look for reviews?|How can you make requesting easy across channels?
generation,Personalized Ask Templates,Create authentic non-pushy review request messages that feel genuine and appreciative,How can you ask without sounding desperate?|What value can you remind them of?|How do you make it easy and fast for them?
generation,Follow-Up Sequence Design,Build automated yet personal follow-up cadences that increase review submission rates,When should the first request go out?|How many follow-ups are appropriate?|What's your graceful exit point?
generation,Incentive Ethics Framework,Navigate the ethics and platform rules around review incentives without violating guidelines,What's allowed vs prohibited on each platform?|How can you reward without buying reviews?|What authentic appreciation can you offer?
damage-control,Fake Review Identification,Recognize and appropriately flag reviews that appear inauthentic or violate platform policies,What makes this review seem suspicious?|Does it violate platform guidelines?|What evidence can you gather for flagging?
damage-control,Crisis Response Protocol,Develop rapid-response systems for serious complaints or reputation threats,What constitutes a review crisis?|Who needs to be involved in response?|What's your 24-hour action plan?
damage-control,Public-Private Balance,Know what to address publicly vs privately when handling sensitive customer issues,What must be acknowledged publicly?|What details should stay private?|How do you protect both parties?
damage-control,Factual Correction Technique,Professionally correct inaccurate information without being defensive or argumentative,What specific facts need correction?|How can you present truth without attacking?|What evidence can you provide?
damage-control,Review Burial Strategy,Generate positive review momentum to naturally push down negative reviews in search results,How many positive reviews do you need?|What's your target review velocity?|How can you systematically request from happy customers?
refinement,Voice Consistency Audit,Ensure all review responses align with established brand voice and values across team members,Do all responses sound like the same brand?|Are there voice inconsistencies between team members?|What voice guidelines need documentation?
refinement,Template Customization System,Create response templates that serve as starting points but require personalization for authenticity,Where should templates be flexible vs fixed?|What must always be customized?|How do you avoid sounding robotic?
refinement,Monthly Review Ritual,Establish recurring review analysis sessions to track trends and refine strategy over time,What metrics should you track monthly?|How are response times trending?|What new patterns are emerging?
refinement,Team Training Protocol,Develop training systems for team members who respond to reviews on behalf of the business,Who can respond to reviews?|What guidelines do they need?|How do you ensure quality and consistency?
refinement,Competitive Intelligence Extraction,Mine competitor reviews for strategic insights about market needs and positioning opportunities,What are customers asking competitors for?|What complaints reveal market gaps?|How can you differentiate based on review intel?
strategy,Review-to-Content Pipeline,Transform common review themes into marketing content blog topics and FAQ resources,What review questions become FAQ content?|Which praises become marketing copy?|How can reviews inform content strategy?
strategy,Local SEO Optimization,Leverage review keywords and themes to improve local search rankings and visibility,What location-based keywords appear in reviews?|How can responses include SEO terms naturally?|What review content boosts local relevance?
strategy,Loyalty Loop Creation,Use review responses to deepen relationships and create pathways to repeat business,How can responses invite return visits?|What exclusive offers can you mention?|How do you turn reviewers into advocates?
