phase,technique_name,description,facilitation_prompts
discovery,Service Area Mapping,Define geographic service area and location-based keywords to target for local visibility,What cities or neighborhoods do you serve?|Where do most of your customers come from?|What locations should we optimize for?
discovery,Core Service Inventory,Identify all services offered and prioritize those with highest demand and profit potential,List all services you offer|Which services are most profitable?|Which services do customers ask about most?
discovery,Customer Avatar Deep Dive,Understand ideal customer demographics search behavior and pain points for targeted content,Who is your ideal customer?|What problems are they trying to solve?|How do they search for solutions?
discovery,Unique Value Proposition Extraction,Identify what makes business unique compared to competitors for differentiation messaging,What makes you different from competitors?|Why do customers choose you?|What's your secret sauce?
discovery,Brand Story Foundation,Uncover origin story mission and values to weave into content for authentic connection,How did you start this business?|What drives you?|What do you stand for?
research,Local Keyword Research,Identify location-specific keywords customers use to find services in the area,What terms do customers use when searching?|Include location modifiers (city + service)|Analyze search volume and competition
research,Customer Language Mining,Extract actual phrases and questions from customer conversations reviews and inquiries,What questions do customers ask repeatedly?|What language do they use (not industry jargon)?|Review common phrases in testimonials
research,Search Intent Analysis,Determine whether searchers want information comparison or to purchase for appropriate content,Are they researching learning comparing or ready to buy?|What content serves each intent stage?|Map content to customer journey
research,Competitor Content Gap Analysis,Identify topics and keywords competitors rank for that you're missing plus opportunities they're overlooking,What topics do competitors cover?|What are they missing?|Where can you differentiate with better content?
research,Question Keyword Discovery,Find question-based searches (how what why when where) to create FAQ and blog content,What questions do people ask about your services?|Use Answer The Public and People Also Ask|Create content that directly answers these
research,Seasonal and Trending Topics,Identify seasonal service demand local events and trending topics for timely content,What services are seasonal?|Local events you can tie into?|Industry trends to address?
strategy,Content Pillar Architecture,Design topic clusters with pillar pages and supporting content for topical authority,What are your 3-5 main service categories?|Create hub pages with supporting subtopic pages|Internal linking strategy
strategy,Local Landing Page Strategy,Plan location-specific pages for each service area with unique local content,One page per location + service combination|Unique content not duplicate|Local landmarks and area information
strategy,Service Page Storytelling Framework,Structure service pages to tell transformation story while optimizing for target keywords,Problem - Solution - Process - Results - Proof - CTA|Weave keywords naturally into narrative|Include testimonials and examples
strategy,Blog Topic Roadmap,Generate 12-month editorial calendar of SEO-optimized blog topics that educate and attract,Mix of educational informational and seasonal topics|Target specific long-tail keywords|Align with customer journey stages
strategy,Google My Business Content Plan,Create weekly GMB post templates that highlight services offers events and updates,What's New posts for updates|Offer posts for promotions|Event posts for happenings|Product/Service posts for highlights
creation,Compelling Service Page Copy,Write service pages that tell customer transformation story while naturally including target keywords,Start with customer pain point|Explain your unique solution approach|Show results and social proof|Clear next steps
creation,Location-Optimized About Page,Craft About Us page that weaves in location keywords brand story and local community involvement,Origin story with local references|Team intro with local ties|Community involvement and partnerships|Location-specific trust signals
creation,FAQ Content from Search Queries,Transform question keywords into FAQ sections that rank for featured snippets,Answer questions concisely (featured snippet format)|Use question as H2 heading|Provide thorough answers with specifics|Include related questions
creation,Blog Post Outline Generation,Create detailed outlines for SEO blog posts targeting specific long-tail keywords,Keyword-optimized title and H1|Strategic H2/H3 subheadings with related keywords|Introduction hooks with keyword|Conclusion with CTA
creation,Testimonial Integration for SEO,Strategically place customer testimonials with location and service keywords throughout content,Pull quotes that mention service + location|Use schema markup for reviews|Feature on relevant service pages|Include customer location if permitted
creation,Local Link-Worthy Content Ideas,Develop content ideas that local organizations media and businesses would want to link to,Local guides and resources|Community event coverage|Local expert interviews|Neighborhood spotlights and histories
optimization,On-Page SEO Checklist,Ensure all technical on-page elements are optimized for target keywords and user experience,Title tag with keyword + location (under 60 chars)|Meta description that sells click (under 160 chars)|H1 matches search intent|Keywords in first paragraph
optimization,Internal Linking Strategy,Create strategic internal links between related pages to distribute authority and keep visitors engaged,Link service pages to related blog posts|Link blog posts to relevant service pages|Use descriptive anchor text with keywords|Create hub-and-spoke structure
optimization,Image Optimization for Local SEO,Optimize images with location-based keywords in filenames and alt text for image search visibility,Descriptive file names (keywords-location.jpg)|Alt text with keywords and context|Compress for page speed|Add captions when helpful
optimization,Schema Markup Implementation,Add structured data markup to help search engines understand business type location services and reviews,LocalBusiness schema with NAP|Service schema for each offering|Review schema for testimonials|FAQ schema for Q&A sections
optimization,Local Citation Consistency,Ensure business name address phone (NAP) is consistent across website and all online directories,Exact same NAP format everywhere|Include on every page (usually footer)|Match Google My Business listing|Consistency builds trust with Google
optimization,Mobile-First Content Formatting,Structure content for mobile readability with short paragraphs headings and scannable sections,Short paragraphs (2-3 sentences max)|Descriptive subheadings every 200-300 words|Bullet points and lists|White space for breathing room
strategy,E-E-A-T Enhancement,Build Experience Expertise Authoritativeness and Trust signals into content for better rankings,Author bios with credentials|Years in business and local history|Certifications and awards|Case studies and results|Customer testimonials
strategy,Conversion Rate Optimization,Design content layout and CTAs to turn SEO traffic into leads and customers,Clear CTA above the fold|Multiple conversion paths (call form chat)|Trust signals near CTAs|Remove friction from contact process
measurement,Keyword Tracking Plan,Establish which keywords to monitor for ranking progress and content performance,Primary keywords per page (1-3 max)|Secondary supporting keywords|Track rankings monthly|Celebrate improvements
measurement,Content Performance Metrics,Define success metrics for each content piece beyond just rankings,Organic traffic to page|Time on page and bounce rate|Conversion rate from traffic|Leads or calls generated|Ranking for target keywords
